protocol,instance_id,split,size,method,runs,solved,solved_rate,shifted_gmean_wall_time,shifted_gmean_nodes,mean_final_gap,finite_gap_runs,par2,branch_decisions,rl_inference_total,fallback_count
production-scip,real_08,validation,medium,random,5,3,0.6,23.560146460967875,4.92402612457345,0.02754808418555778,5,35.888829841799996,0,0.0,0
production-scip,real_08,validation,medium,relpscost,5,4,0.8,23.345215986563044,2.9287570174054607,0.0,4,29.732569885600004,0,0.0,0
production-scip,real_08,validation,medium,rl-gcnn,5,5,1.0,23.826077730139424,5.093346248827459,0.0,5,24.0476218106,78,6.189306233,0
production-scip,real_08,validation,medium,rl-mlp,5,4,0.8,21.541398389514146,3.982923758462068,0.025024627292683198,5,27.7588369892,38,0.01673743,0
production-scip,real_09,test,small,default,5,5,1.0,1.8902925243136002,1.7594593229224293,0.0,5,2.0600147836,0,0.0,0
production-scip,real_09,test,small,mostinf,5,5,1.0,1.6372685126888857,1.9081223022019946,0.0,5,1.6727212043999997,0,0.0,0
production-scip,real_09,test,small,random,5,5,1.0,1.6496824083942672,1.4022488679628622,0.0,5,1.6836617524000002,0,0.0,0
production-scip,real_09,test,small,relpscost,5,5,1.0,1.89133612414797,1.7594593229224293,0.0,5,2.0503393018000002,0,0.0,0
production-scip,real_09,test,small,rl-gcnn,5,5,1.0,3.8905196653543017,1.701920077041227,0.0,5,4.0591249602,8,2.667011908,0
production-scip,real_09,test,small,rl-mlp,5,5,1.0,2.0174574255112567,1.951546323189104,0.0,5,2.0556255977999998,12,0.002848015,0
production-scip,real_09,test,small,strong,5,5,1.0,2.459269568321746,2.1374348530720995,0.0,5,3.4321937155999995,0,0.0,0
