protocol,split,size,method,runs,solved,solved_rate,shifted_gmean_wall_time,shifted_gmean_nodes,median_wall_time,median_nodes,mean_final_gap,finite_gap_runs,par2,average_rank,rl_inference_total,rl_inference_fraction,fallback_count,paired_speedup,paired_speedup_ci_low,paired_speedup_ci_high,wins,ties,losses
controlled-bbmdp,transfer,large,rl-gcnn,10,0,0.0,36.44830592849941,0.4142135623730949,36.9740490515,0.5,,0,60.0,3.5,0.0,0.0,0,0.9060796974195503,0.8115767038195946,0.998303684242758,1,26,8
controlled-bbmdp,transfer,large,rl-mlp,10,0,0.0,34.516084840414436,0.4142135623730949,34.9877982915,0.5,,0,60.0,3.5,0.0,0.0,0,0.9776330425328387,0.9405026053597004,1.0135702576885595,1,27,7
controlled-bbmdp,transfer,medium,default,15,0,0.0,30.838286438402676,2.0333183165914024,30.853077355,1.0,0.0840867577107423,3,60.0,3.6666666666666665,0.0,0.0,0,1.0,1.0,1.0,0,35,0
controlled-bbmdp,transfer,medium,mostinf,15,2,0.13333333333333333,30.291519584694516,9.623344248460413,30.671077191,1.0,0.050090334036556175,4,55.62625175586666,3.2666666666666666,0.0,0.0,0,1.1229920916983478,1.026547184001793,1.2490223425155917,8,23,4
controlled-bbmdp,transfer,medium,random,15,3,0.2,30.279747255959887,9.759995718192572,30.668388778,1.0,0.0445063000364675,4,53.6801579986,3.066666666666667,0.0,0.0,0,1.1427167944451293,1.038547879673407,1.2779248891367727,9,22,4
controlled-bbmdp,transfer,medium,relpscost,15,0,0.0,30.771395247663317,1.9885279373210922,30.727106111,1.0,0.0840867577107423,3,60.0,3.6666666666666665,0.0,0.0,0,0.9985071627470171,0.9968999289138595,0.9998839523015793,2,27,6
controlled-bbmdp,transfer,medium,rl-gcnn,15,0,0.0,32.727967468831274,5.730416055529918,32.690241956,1.0,0.0840867577107423,3,60.0,3.6666666666666665,21.015520578999997,0.04645098966968621,0,0.9060796974195503,0.8115767038195946,0.998303684242758,1,26,8
controlled-bbmdp,transfer,medium,rl-mlp,15,0,0.0,31.222826763631275,10.038081665378026,31.18992982,1.0,0.0741526743487233,3,60.0,3.6666666666666665,0.5641074039999999,0.001248146071062424,0,0.9776330425328387,0.9405026053597004,1.0135702576885595,1,27,7
controlled-bbmdp,validation,medium,default,5,3,0.6,23.593964618362747,3.1825582103650927,20.797972419,1.0,0.0,3,35.9636334404,3.9,0.0,0.0,0,1.0,1.0,1.0,0,35,0
controlled-bbmdp,validation,medium,mostinf,5,5,1.0,20.574512546199525,7.613024217461064,20.560367598,1.0,0.0,5,20.653156115199998,1.4,0.0,0.0,0,1.1229920916983478,1.026547184001793,1.2490223425155917,8,23,4
