event,episode,gradient_step,loss,td_error,epsilon,reward,episode_nodes,episode_solving_time,validation_nodes,validation_time,replay_size,q_value_mean,q_value_std,selected_candidate_rank,cpu_memory_mb,gpu_memory_mb,status,instance
train_update,14,4300,7.944511413574219,8.352391242980957,0.050000000000000044,,,,,,569,-71.41737365722656,22.21407127380371,1.0,1536.65625,64.423828125,,data/instances/train/real_06.cip
train_update,14,4350,10.473851203918457,10.896475791931152,0.050000000000000044,,,,,,575,-77.7958984375,24.883468627929688,1.0,1536.65625,64.423828125,,data/instances/train/real_06.cip
train_update,14,4400,5.6864166259765625,6.131358623504639,0.050000000000000044,,,,,,581,-67.67630004882812,26.759958267211914,1.0,1536.65625,64.423828125,,data/instances/train/real_06.cip
train_update,14,4450,3.4099841117858887,3.8044164180755615,0.050000000000000044,,,,,,588,-73.19660949707031,22.0647029876709,1.0,1536.65625,64.423828125,,data/instances/train/real_06.cip
train_update,14,4500,2.1085636615753174,2.4996001720428467,0.050000000000000044,,,,,,594,-66.37657928466797,25.177467346191406,1.0,1536.65625,64.423828125,,data/instances/train/real_06.cip
episode,14,4520,5.708187580108643,6.057840347290039,0.050000000000000044,-28.0,29,60.840179,,,598,,,6.413793103448276,1536.65625,64.423828125,timelimit,data/instances/train/real_06.cip
train_update,15,4550,7.602705001831055,8.007794380187988,0.050000000000000044,,,,,,600,-59.177303314208984,25.325672149658203,1.0,1536.65625,64.423828125,,data/instances/train/real_06.cip
train_update,15,4600,1.1724627017974854,1.6095871925354004,0.050000000000000044,,,,,,606,-70.67937469482422,27.560985565185547,1.0,1536.65625,64.423828125,,data/instances/train/real_06.cip
train_update,15,4650,4.939520359039307,5.2587056159973145,0.050000000000000044,,,,,,613,-80.92352294921875,26.76517677307129,1.0,1536.65625,64.423828125,,data/instances/train/real_06.cip
train_update,15,4700,6.45943546295166,6.86384391784668,0.050000000000000044,,,,,,619,-62.42384719848633,22.66366958618164,17.0,1536.65625,64.423828125,,data/instances/train/real_06.cip
train_update,15,4750,1.7983496189117432,2.192610502243042,0.050000000000000044,,,,,,625,-65.01083374023438,28.412517547607422,1.0,1536.65625,64.423828125,,data/instances/train/real_06.cip
episode,15,4776,0.9209401607513428,1.31439208984375,0.050000000000000044,-31.0,32,60.671576,,,630,,,3.40625,1536.65625,64.423828125,timelimit,data/instances/train/real_06.cip
train_update,16,4800,0.532809317111969,0.8729122281074524,0.050000000000000044,,,,,,631,-68.56669616699219,32.12920379638672,1.0,1536.65625,64.423828125,,data/instances/train/real_06.cip
train_update,16,4850,3.115478038787842,3.5183732509613037,0.050000000000000044,,,,,,638,-66.37847900390625,25.737024307250977,1.0,1536.65625,64.423828125,,data/instances/train/real_06.cip
train_update,16,4900,6.373140335083008,6.684946060180664,0.050000000000000044,,,,,,644,-60.29386520385742,28.004560470581055,1.0,1536.65625,64.423828125,,data/instances/train/real_06.cip
train_update,16,4950,0.3396214246749878,0.7307760715484619,0.050000000000000044,,,,,,650,-68.08134460449219,31.841400146484375,1.0,1536.65625,64.423828125,,data/instances/train/real_06.cip
train_update,16,5000,2.533798933029175,2.8899545669555664,0.050000000000000044,,,,,,656,-76.35647583007812,28.877681732177734,1.0,1536.65625,64.423828125,,data/instances/train/real_06.cip
episode,16,5000,2.533798933029175,2.8899545669555664,0.050000000000000044,-57.0,58,60.005395,,,687,,,4.543859649122807,1536.65625,64.423828125,timelimit,data/instances/train/real_06.cip
validation,17,5000,,,,,,,63.0,29.189839,687,,,,,,optimal,data/instances/validation/real_08.cip
